symbol_name,symbol_kind,path,line_range,module_category,relevance,inspected,notes
PipelineTraceExporter,enum,OpenIntelligence/Features/Chat/Pipeline/PipelineTraceExporter.swift,12-22,chat,direct,yes,Scanned type definition for PipelineTraceExporter
ChatExecutionLocation,enum,OpenIntelligence/Features/Chat/Pipeline/ProcessingModels.swift,10-20,chat,direct,yes,Scanned type definition for ChatExecutionLocation
ChatProcessingStage,enum,OpenIntelligence/Features/Chat/Pipeline/ProcessingModels.swift,44-54,chat,direct,yes,Scanned type definition for ChatProcessingStage
AnswerIntelligence,struct,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,16-26,chat,direct,yes,Scanned type definition for AnswerIntelligence
GateDetail,struct,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,48-58,chat,direct,yes,Scanned type definition for GateDetail
SourceInfo,struct,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,58-68,chat,direct,yes,Scanned type definition for SourceInfo
ConfidenceLevel,enum,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,89-99,chat,direct,yes,Scanned type definition for ConfidenceLevel
AnswerIntelligenceView,struct,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,119-129,chat,direct,yes,Scanned type definition for AnswerIntelligenceView
Section,enum,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,123-133,chat,direct,yes,Scanned type definition for Section
AnswerIntelligenceBadge,struct,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,559-569,chat,direct,yes,Scanned type definition for AnswerIntelligenceBadge
AnswerIntelligence,extension,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,585-595,chat,direct,yes,Scanned type definition for AnswerIntelligence
ContextUsageIndicator,struct,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,12-22,chat,direct,yes,Scanned type definition for ContextUsageIndicator
CompactContextIndicator,struct,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,150-160,chat,direct,yes,Scanned type definition for CompactContextIndicator
CircularContextGauge,struct,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,195-205,chat,direct,yes,Scanned type definition for CircularContextGauge
EnhancedCodeBlock,struct,OpenIntelligence/Features/Chat/Response/EnhancedCodeBlock.swift,12-22,chat,direct,yes,Scanned type definition for EnhancedCodeBlock
CompactCodeBlock,struct,OpenIntelligence/Features/Chat/Response/EnhancedCodeBlock.swift,264-274,chat,direct,yes,Scanned type definition for CompactCodeBlock
ContentView,struct,OpenIntelligence/Features/Chat/Response/EnhancedCodeBlock.swift,308-318,chat,direct,yes,Scanned type definition for ContentView
GroundedAnswerView,struct,OpenIntelligence/Features/Chat/Response/GroundedAnswerView.swift,7-17,chat,direct,yes,Scanned type definition for GroundedAnswerView
ReportReason,enum,OpenIntelligence/Features/Chat/Response/ReportMessageSheet.swift,7-17,chat,direct,yes,Scanned type definition for ReportReason
ReportMessageSheet,struct,OpenIntelligence/Features/Chat/Response/ReportMessageSheet.swift,24-34,chat,direct,yes,Scanned type definition for ReportMessageSheet
ChatResponseDetailsView,struct,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,9-19,chat,direct,yes,Scanned type definition for ChatResponseDetailsView
VerificationLevel,enum,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,740-750,chat,direct,yes,Scanned type definition for VerificationLevel
ResponseDetailMetricRow,struct,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,976-986,chat,direct,yes,Scanned type definition for ResponseDetailMetricRow
RetrievalQualityBar,struct,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,12-22,chat,direct,yes,Scanned type definition for RetrievalQualityBar
CompactQualityIndicator,struct,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,147-157,chat,direct,yes,Scanned type definition for CompactQualityIndicator
QualityGauge,struct,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,188-198,chat,direct,yes,Scanned type definition for QualityGauge
QualityRadar,struct,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,225-235,chat,direct,yes,Scanned type definition for QualityRadar
RetrievalSourcesTray,struct,OpenIntelligence/Features/Chat/Response/RetrievalSourcesTray.swift,12-22,chat,direct,yes,Scanned type definition for RetrievalSourcesTray
SourceChipsView,struct,OpenIntelligence/Features/Chat/Response/SourceChipsView.swift,11-21,chat,direct,yes,Scanned type definition for SourceChipsView
SourceFidelityStatus,struct,OpenIntelligence/Features/Chat/Response/SourceFidelityStatus.swift,9-19,chat,direct,yes,Scanned type definition for SourceFidelityStatus
FidelityLevel,enum,OpenIntelligence/Features/Chat/Response/SourceFidelityStatus.swift,11-21,chat,direct,yes,Scanned type definition for FidelityLevel
StatusPillV2,struct,OpenIntelligence/Features/Chat/Response/StatusPillV2.swift,10-20,chat,direct,yes,Scanned type definition for StatusPillV2
ThinkingStreamView,struct,OpenIntelligence/Features/Chat/Response/ThinkingStreamView.swift,5-15,chat,direct,yes,Scanned type definition for ThinkingStreamView
ViewMode,enum,OpenIntelligence/Features/Chat/Response/ThinkingStreamView.swift,13-23,chat,direct,yes,Scanned type definition for ViewMode
TimingBreakdownView,struct,OpenIntelligence/Features/Chat/Response/TimingBreakdownView.swift,12-22,chat,direct,yes,Scanned type definition for TimingBreakdownView
TimingChipsRow,struct,OpenIntelligence/Features/Chat/Response/TimingBreakdownView.swift,174-184,chat,direct,yes,Scanned type definition for TimingChipsRow
ToolCallBadge,struct,OpenIntelligence/Features/Chat/Response/ToolCallBadge.swift,13-23,chat,direct,yes,Scanned type definition for ToolCallBadge
MicroToolCallBadge,struct,OpenIntelligence/Features/Chat/Response/ToolCallBadge.swift,58-68,chat,direct,yes,Scanned type definition for MicroToolCallBadge
RetrievalMode,enum,OpenIntelligence/Features/Chat/Response/UnifiedMetricsBar.swift,15-25,chat,direct,yes,Scanned type definition for RetrievalMode
UnifiedMetricsBar,struct,OpenIntelligence/Features/Chat/Response/UnifiedMetricsBar.swift,42-52,chat,direct,yes,Scanned type definition for UnifiedMetricsBar
PanelHeightPreferenceKey,struct,OpenIntelligence/Features/Chat/Response/UnifiedMetricsBar.swift,4663-4673,chat,direct,yes,Scanned type definition for PanelHeightPreferenceKey
VerificationGatesOverlayView,struct,OpenIntelligence/Features/Chat/Response/VerificationGatesOverlayView.swift,6-16,chat,direct,yes,Scanned type definition for VerificationGatesOverlayView
GateStatus,enum,OpenIntelligence/Features/Chat/Response/VerificationGatesOverlayView.swift,11-21,chat,direct,yes,Scanned type definition for GateStatus
VerificationGate,struct,OpenIntelligence/Features/Chat/Response/VerificationGatesOverlayView.swift,17-27,chat,direct,yes,Scanned type definition for VerificationGate
GateRowView,struct,OpenIntelligence/Features/Chat/Response/VerificationGatesOverlayView.swift,173-183,chat,direct,yes,Scanned type definition for GateRowView
VisualEvidenceCard,struct,OpenIntelligence/Features/Chat/Response/VisualEvidenceCard.swift,9-19,chat,direct,yes,Scanned type definition for VisualEvidenceCard
WritingToolsResultSheet,struct,OpenIntelligence/Features/Chat/Response/WritingToolsResultSheet.swift,11-21,chat,direct,yes,Scanned type definition for WritingToolsResultSheet
DatabaseDashboardView,struct,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,13-23,persistence,indirect,yes,Scanned type definition for DatabaseDashboardView
RebuildLogEntry,struct,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,44-54,persistence,indirect,yes,Scanned type definition for RebuildLogEntry
LogType,enum,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,50-60,persistence,indirect,yes,Scanned type definition for LogType
DatabaseSection,enum,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,75-85,persistence,indirect,yes,Scanned type definition for DatabaseSection
Status,enum,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,1903-1913,persistence,indirect,yes,Scanned type definition for Status
LibraryIntelligenceCard,struct,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,1945-1955,persistence,indirect,yes,Scanned type definition for LibraryIntelligenceCard
IntelligenceMetricRow,struct,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,2118-2128,persistence,indirect,yes,Scanned type definition for IntelligenceMetricRow
CorpusSignalBadge,struct,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,2140-2150,persistence,indirect,yes,Scanned type definition for CorpusSignalBadge
IntelligenceExplanationRow,struct,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,2156-2166,persistence,indirect,yes,Scanned type definition for IntelligenceExplanationRow
DocumentPreviewSheet,struct,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,2187-2197,persistence,indirect,yes,Scanned type definition for DocumentPreviewSheet
AnalysisStats,struct,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,2205-2215,persistence,indirect,yes,Scanned type definition for AnalysisStats
DeveloperDiagnosticsHubView,struct,OpenIntelligence/Features/Diagnostics/Hub/DeveloperDiagnosticsHubView.swift,9-19,diagnostics,indirect,yes,Scanned type definition for DeveloperDiagnosticsHubView
BackendHealthDiagnosticsView,struct,OpenIntelligence/Features/Diagnostics/Monitoring/BackendHealthDiagnosticsView.swift,10-20,diagnostics,indirect,yes,Scanned type definition for BackendHealthDiagnosticsView
LiveSystemMonitorWrapper,struct,OpenIntelligence/Features/Diagnostics/Monitoring/LiveSystemMonitorWrapper.swift,13-23,diagnostics,indirect,yes,Scanned type definition for LiveSystemMonitorWrapper
ChunkInspectorView,struct,OpenIntelligence/Features/Diagnostics/Validation/ChunkInspectorView.swift,9-19,diagnostics,indirect,yes,Scanned type definition for ChunkInspectorView
InspectionMode,enum,OpenIntelligence/Features/Diagnostics/Validation/ChunkInspectorView.swift,24-34,diagnostics,indirect,yes,Scanned type definition for InspectionMode
ChunkSortOrder,enum,OpenIntelligence/Features/Diagnostics/Validation/ChunkInspectorView.swift,30-40,diagnostics,indirect,yes,Scanned type definition for ChunkSortOrder
ChunkRowView,struct,OpenIntelligence/Features/Diagnostics/Validation/ChunkInspectorView.swift,373-383,diagnostics,indirect,yes,Scanned type definition for ChunkRowView
ChunkDetailSheet,struct,OpenIntelligence/Features/Diagnostics/Validation/ChunkInspectorView.swift,444-454,diagnostics,indirect,yes,Scanned type definition for ChunkDetailSheet
ChunkInspectionResult,struct,OpenIntelligence/Features/Diagnostics/Validation/ChunkInspectorView.swift,636-646,diagnostics,indirect,yes,Scanned type definition for ChunkInspectionResult
CorpusVerificationResult,struct,OpenIntelligence/Features/Diagnostics/Validation/ChunkInspectorView.swift,654-664,diagnostics,indirect,yes,Scanned type definition for CorpusVerificationResult
ContainerScopingSelfTestsView,struct,OpenIntelligence/Features/Diagnostics/Validation/ContainerScopingSelfTestsView.swift,10-20,diagnostics,indirect,yes,Scanned type definition for ContainerScopingSelfTestsView
Status,enum,OpenIntelligence/Features/Diagnostics/Validation/ContainerScopingSelfTestsView.swift,317-327,diagnostics,indirect,yes,Scanned type definition for Status
CoreValidationView,struct,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,10-20,diagnostics,indirect,yes,Scanned type definition for CoreValidationView
ModernStatusCard,struct,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,387-397,diagnostics,indirect,yes,Scanned type definition for ModernStatusCard
EmbeddingStatusCard,struct,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,440-450,diagnostics,indirect,yes,Scanned type definition for EmbeddingStatusCard
EmbeddingTelemetryList,struct,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,513-523,diagnostics,indirect,yes,Scanned type definition for EmbeddingTelemetryList
ModernTestResultCard,struct,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,575-585,diagnostics,indirect,yes,Scanned type definition for ModernTestResultCard
ModernTestInfoSection,struct,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,623-633,diagnostics,indirect,yes,Scanned type definition for ModernTestInfoSection
ModernTestInfoItem,struct,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,671-681,diagnostics,indirect,yes,Scanned type definition for ModernTestInfoItem
StatusCard,struct,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,698-708,diagnostics,indirect,yes,Scanned type definition for StatusCard
TestResultRow,struct,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,708-718,diagnostics,indirect,yes,Scanned type definition for TestResultRow
TestInfoSection,struct,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,716-726,diagnostics,indirect,yes,Scanned type definition for TestInfoSection
TestInfoItem,struct,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,722-732,diagnostics,indirect,yes,Scanned type definition for TestInfoItem
TestResult,struct,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,733-743,diagnostics,indirect,yes,Scanned type definition for TestResult
TestStatus,enum,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,741-751,diagnostics,indirect,yes,Scanned type definition for TestStatus
PCCRouteEvaluator,class,OpenIntelligence/Features/Diagnostics/Validation/PCCRouteEvaluator.swift,14-24,routing,direct,yes,Scanned type definition for PCCRouteEvaluator
RAGAccuracyView,struct,OpenIntelligence/Features/Diagnostics/Validation/RAGAccuracyView.swift,12-22,RAG,indirect,yes,Scanned type definition for RAGAccuracyView
EmbeddingSanityResult,struct,OpenIntelligence/Features/Diagnostics/Validation/RAGAccuracyView.swift,494-504,RAG,indirect,yes,Scanned type definition for EmbeddingSanityResult
RAGPipelineAuditView,struct,OpenIntelligence/Features/Diagnostics/Validation/RAGPipelineAuditView.swift,9-19,RAG,indirect,yes,Scanned type definition for RAGPipelineAuditView
ContainerPillBadgeStyle,enum,OpenIntelligence/Features/Documents/Components/ContainerPicker.swift,9-19,model,indirect,yes,Scanned type definition for ContainerPillBadgeStyle
ContainerPickerStrip,struct,OpenIntelligence/Features/Documents/Components/ContainerPicker.swift,37-47,model,indirect,yes,Scanned type definition for ContainerPickerStrip
ContainerPill,struct,OpenIntelligence/Features/Documents/Components/ContainerPicker.swift,120-130,model,indirect,yes,Scanned type definition for ContainerPill
ModernDocumentCard,struct,OpenIntelligence/Features/Documents/Components/DocumentCard.swift,9-19,model,indirect,yes,Scanned type definition for ModernDocumentCard
DeleteMode,enum,OpenIntelligence/Features/Documents/Components/DocumentCard.swift,16-26,model,indirect,yes,Scanned type definition for DeleteMode
ContentTagsRow,struct,OpenIntelligence/Features/Documents/Components/DocumentCard.swift,179-189,model,indirect,yes,Scanned type definition for ContentTagsRow
DocumentPicker,struct,OpenIntelligence/Features/Documents/Components/DocumentPicker.swift,12-22,model,indirect,yes,Scanned type definition for DocumentPicker
Coordinator,class,OpenIntelligence/Features/Documents/Components/DocumentPicker.swift,78-88,model,indirect,yes,Scanned type definition for Coordinator
DocumentPicker,struct,OpenIntelligence/Features/Documents/Components/DocumentPicker.swift,118-128,model,indirect,yes,Scanned type definition for DocumentPicker
DocumentQuotaBanner,struct,OpenIntelligence/Features/Documents/Components/DocumentQuotaBanner.swift,9-19,billing,direct,yes,Scanned type definition for DocumentQuotaBanner
DocumentRow,struct,OpenIntelligence/Features/Documents/Components/DocumentRow.swift,9-19,model,indirect,yes,Scanned type definition for DocumentRow
DocumentRow,extension,OpenIntelligence/Features/Documents/Components/DocumentRow.swift,41-51,model,indirect,yes,Scanned type definition for DocumentRow
EmptyDocumentsView,struct,OpenIntelligence/Features/Documents/Components/EmptyDocumentsView.swift,9-19,UI,indirect,yes,Scanned type definition for EmptyDocumentsView
DocumentFeatureRow,struct,OpenIntelligence/Features/Documents/Components/EmptyDocumentsView.swift,157-167,model,indirect,yes,Scanned type definition for DocumentFeatureRow
ProcessingSummaryView,struct,OpenIntelligence/Features/Documents/Components/ProcessingSummaryView.swift,9-19,ingestion,indirect,yes,Scanned type definition for ProcessingSummaryView
View,extension,OpenIntelligence/Features/Documents/Components/ProcessingSummaryView.swift,119-129,ingestion,indirect,yes,Scanned type definition for View
InfoSection,struct,OpenIntelligence/Features/Documents/Components/ProcessingSummaryView.swift,129-139,ingestion,indirect,yes,Scanned type definition for InfoSection
DetailInfoRow,struct,OpenIntelligence/Features/Documents/Components/ProcessingSummaryView.swift,157-167,ingestion,indirect,yes,Scanned type definition for DetailInfoRow
StatsFooter,struct,OpenIntelligence/Features/Documents/Components/StatsFooter.swift,9-19,model,indirect,yes,Scanned type definition for StatsFooter
AutoIntelligenceBadge,struct,OpenIntelligence/Features/Documents/Components/StatsFooter.swift,44-54,model,indirect,yes,Scanned type definition for AutoIntelligenceBadge
DocumentDetailsView,struct,OpenIntelligence/Features/Documents/Details/DocumentDetailsView.swift,9-19,UI,indirect,yes,Scanned type definition for DocumentDetailsView
DetailRow,struct,OpenIntelligence/Features/Documents/Details/DocumentDetailsView.swift,550-560,model,indirect,yes,Scanned type definition for DetailRow
FlowLayout,struct,OpenIntelligence/Features/Documents/Details/DocumentDetailsView.swift,847-857,model,indirect,yes,Scanned type definition for FlowLayout
CachedDocsView,struct,OpenIntelligence/Features/Documents/Library/CachedDocsView.swift,14-24,UI,indirect,yes,Scanned type definition for CachedDocsView
DocumentLibraryView,struct,OpenIntelligence/Features/Documents/Library/DocumentLibraryView.swift,11-21,UI,indirect,yes,Scanned type definition for DocumentLibraryView
SampleDocumentDescriptor,struct,OpenIntelligence/Features/Documents/Library/SampleDocumentManager.swift,4-14,model,indirect,yes,Scanned type definition for SampleDocumentDescriptor
SemanticSearchView,struct,OpenIntelligence/Features/Documents/Search/SemanticSearchView.swift,2-12,retrieval,indirect,yes,Scanned type definition for SemanticSearchView
LibraryColorPalette,enum,OpenIntelligence/Features/Documents/Settings/ColorPicker.swift,17-27,model,indirect,yes,Scanned type definition for LibraryColorPalette
LibraryColorPicker,struct,OpenIntelligence/Features/Documents/Settings/ColorPicker.swift,81-91,model,indirect,yes,Scanned type definition for LibraryColorPicker
ColorPickerButton,struct,OpenIntelligence/Features/Documents/Settings/ColorPicker.swift,289-299,model,indirect,yes,Scanned type definition for ColorPickerButton
AccentColorPicker,struct,OpenIntelligence/Features/Documents/Settings/ColorPicker.swift,340-350,model,indirect,yes,Scanned type definition for AccentColorPicker
AccentColorSettingsRow,struct,OpenIntelligence/Features/Documents/Settings/ColorPicker.swift,442-452,model,indirect,yes,Scanned type definition for AccentColorSettingsRow
Color,extension,OpenIntelligence/Features/Documents/Settings/ColorPicker.swift,496-506,model,indirect,yes,Scanned type definition for Color
ContainerSettingsSheet,extension,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet+Sections.swift,12-22,model,indirect,yes,Scanned type definition for ContainerSettingsSheet
ChunkingPreview,struct,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet+Sections.swift,1507-1517,UI,indirect,yes,Scanned type definition for ChunkingPreview
ContainerSettingsSheet,struct,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,11-21,model,indirect,yes,Scanned type definition for ContainerSettingsSheet
EmbeddingProviderOption,struct,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,755-765,model,indirect,yes,Scanned type definition for EmbeddingProviderOption
DimensionOption,struct,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,768-778,model,indirect,yes,Scanned type definition for DimensionOption
VectorDBOptionDescriptor,struct,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,779-789,model,indirect,yes,Scanned type definition for VectorDBOptionDescriptor
ProviderAvailabilityAlert,struct,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,789-799,model,indirect,yes,Scanned type definition for ProviderAvailabilityAlert
ReembedContext,struct,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,811-821,model,indirect,yes,Scanned type definition for ReembedContext
SelectableOptionCard,struct,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,819-829,model,indirect,yes,Scanned type definition for SelectableOptionCard
OptionMetric,struct,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,949-959,model,indirect,yes,Scanned type definition for OptionMetric
SettingHelpCallout,struct,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,956-966,model,indirect,yes,Scanned type definition for SettingHelpCallout
AutoIntelligencePanel,struct,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,998-1008,model,indirect,yes,Scanned type definition for AutoIntelligencePanel
ReembedStatusBanner,struct,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,1307-1317,model,indirect,yes,Scanned type definition for ReembedStatusBanner
SFSymbolPicker,struct,OpenIntelligence/Features/Documents/Settings/SFSymbolPicker.swift,9-19,model,indirect,yes,Scanned type definition for SFSymbolPicker
SymbolCategory,enum,OpenIntelligence/Features/Documents/Settings/SFSymbolPicker.swift,25-35,model,indirect,yes,Scanned type definition for SymbolCategory
SFSymbolPickerButton,struct,OpenIntelligence/Features/Documents/Settings/SFSymbolPicker.swift,352-362,model,indirect,yes,Scanned type definition for SFSymbolPickerButton
OnboardingChecklistLauncher,struct,OpenIntelligence/Features/Onboarding/OnboardingChecklistLauncher.swift,5-15,model,indirect,yes,Scanned type definition for OnboardingChecklistLauncher
OnboardingChecklistView,struct,OpenIntelligence/Features/Onboarding/OnboardingChecklistView.swift,33-43,UI,indirect,yes,Scanned type definition for OnboardingChecklistView
OpenIntelligenceLinks,enum,OpenIntelligence/Features/Settings/AboutView.swift,2-12,model,indirect,yes,Scanned type definition for OpenIntelligenceLinks
AboutView,struct,OpenIntelligence/Features/Settings/AboutView.swift,26-36,UI,indirect,yes,Scanned type definition for AboutView
FeatureRow,struct,OpenIntelligence/Features/Settings/Components/FeatureRow.swift,11-21,model,indirect,yes,Scanned type definition for FeatureRow
InfoRow,struct,OpenIntelligence/Features/Settings/Components/InfoRow.swift,11-21,model,indirect,yes,Scanned type definition for InfoRow
ModelConfigurationSheet,struct,OpenIntelligence/Features/Settings/Components/ModelConfigurationSheet.swift,11-21,model,direct,yes,Scanned type definition for ModelConfigurationSheet
InferencePreset,enum,OpenIntelligence/Features/Settings/Components/ModelConfigurationSheet.swift,443-453,model,direct,yes,Scanned type definition for InferencePreset
SystemPromptTemplate,enum,OpenIntelligence/Features/Settings/Components/ModelConfigurationSheet.swift,581-591,model,direct,yes,Scanned type definition for SystemPromptTemplate
ModelInfoCard,struct,OpenIntelligence/Features/Settings/Components/ModelInfoCard.swift,12-22,model,direct,yes,Scanned type definition for ModelInfoCard
ModelPipelineRow,struct,OpenIntelligence/Features/Settings/Components/ModelPipelineRow.swift,11-21,model,direct,yes,Scanned type definition for ModelPipelineRow
ModelPipelineStage,struct,OpenIntelligence/Features/Settings/Components/ModelPipelineStage.swift,11-21,model,direct,yes,Scanned type definition for ModelPipelineStage
Role,enum,OpenIntelligence/Features/Settings/Components/ModelPipelineStage.swift,12-22,model,direct,yes,Scanned type definition for Role
Status,enum,OpenIntelligence/Features/Settings/Components/ModelPipelineStage.swift,50-60,model,direct,yes,Scanned type definition for Status
ModelSelectorSheet,struct,OpenIntelligence/Features/Settings/Components/ModelSelectorSheet.swift,9-19,model,direct,yes,Scanned type definition for ModelSelectorSheet
SettingsView,struct,OpenIntelligence/Features/Settings/SettingsView.swift,14-24,UI,indirect,yes,Scanned type definition for SettingsView
Bundle,extension,OpenIntelligence/Features/Settings/SettingsView.swift,2558-2568,model,indirect,yes,Scanned type definition for Bundle
LiveTelemetryStatsView,struct,OpenIntelligence/Features/Telemetry/Dashboard/LiveTelemetryStatsView.swift,11-21,diagnostics,indirect,yes,Scanned type definition for LiveTelemetryStatsView
DeviceComponentLayout,enum,OpenIntelligence/Features/Telemetry/Dashboard/MotherboardHUDView.swift,29-39,diagnostics,indirect,yes,Scanned type definition for DeviceComponentLayout
HardwareXRayOverlay,struct,OpenIntelligence/Features/Telemetry/Dashboard/MotherboardHUDView.swift,289-299,diagnostics,indirect,yes,Scanned type definition for HardwareXRayOverlay
TelemetryDashboardView,struct,OpenIntelligence/Features/Telemetry/Dashboard/TelemetryDashboardView.swift,2-12,diagnostics,indirect,yes,Scanned type definition for TelemetryDashboardView
NLChunkingDiagnosticsView,struct,OpenIntelligence/Features/Telemetry/Diagnostics/NLChunkingDiagnosticsView.swift,10-20,diagnostics,indirect,yes,Scanned type definition for NLChunkingDiagnosticsView
AdaptiveVisualizationsView,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,13-23,diagnostics,indirect,yes,Scanned type definition for AdaptiveVisualizationsView
AtlasProjectionMethod,enum,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,35-45,diagnostics,indirect,yes,Scanned type definition for AtlasProjectionMethod
AtlasBackgroundStyle,enum,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,57-67,diagnostics,indirect,yes,Scanned type definition for AtlasBackgroundStyle
AtlasMode,enum,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,95-105,diagnostics,indirect,yes,Scanned type definition for AtlasMode
QuickMetric,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,850-860,diagnostics,indirect,yes,Scanned type definition for QuickMetric
InsightCard,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,880-890,diagnostics,indirect,yes,Scanned type definition for InsightCard
RecommendedViewCard,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,939-949,diagnostics,indirect,yes,Scanned type definition for RecommendedViewCard
StatTile,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,1024-1034,diagnostics,indirect,yes,Scanned type definition for StatTile
TopicCloudView,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,1055-1065,routing,indirect,yes,Scanned type definition for TopicCloudView
ContentBreakdownView,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,1119-1129,diagnostics,indirect,yes,Scanned type definition for ContentBreakdownView
ClusterOverviewView,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,1177-1187,diagnostics,indirect,yes,Scanned type definition for ClusterOverviewView
RetrievalFlowView,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,1241-1251,diagnostics,indirect,yes,Scanned type definition for RetrievalFlowView
DocumentRelationshipView,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,1333-1343,diagnostics,indirect,yes,Scanned type definition for DocumentRelationshipView
SimilarityHeatmapPreview,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,1360-1370,diagnostics,indirect,yes,Scanned type definition for SimilarityHeatmapPreview
LibraryTimelineView,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,1411-1421,diagnostics,indirect,yes,Scanned type definition for LibraryTimelineView
AtlasStatPill,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,1506-1516,diagnostics,indirect,yes,Scanned type definition for AtlasStatPill
AtlasToggleChip,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,1536-1546,diagnostics,indirect,yes,Scanned type definition for AtlasToggleChip
CompactInsightCard,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,1563-1573,diagnostics,indirect,yes,Scanned type definition for CompactInsightCard
Fullscreen3DAtlasView,struct,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,1617-1627,diagnostics,indirect,yes,Scanned type definition for Fullscreen3DAtlasView
