function_name,parent_type,file_path,approximate_line_range,visibility,async,throws,primary_purpose,inputs,outputs,calls_known,called_by_known,reads_files,writes_files,touches_userdefaults,touches_keychain,touches_icloud,touches_pcc_or_cloud,touches_storekit,background_sensitive,app_lifecycle_sensitive,relevance,risk_level,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
mergedCitationLabels,StructuredAnswer,OpenIntelligence/Core/Models/StructuredAnswer.swift,1124-1129,internal,No,No,Method of StructuredAnswer,"
        from claims: [StructuredAnswerRenderableClaim]
    ",[String],,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Method signatures extracted from StructuredAnswer
paragraphWithCitations,StructuredAnswer,OpenIntelligence/Core/Models/StructuredAnswer.swift,1131-1150,internal,No,No,Method of StructuredAnswer,"
        _ paragraph: String,
        citations: [String],
        includeInlineCitations: Bool
    ",String,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Method signatures extracted from StructuredAnswer
wordCount,StructuredAnswer,OpenIntelligence/Core/Models/StructuredAnswer.swift,1152-1154,internal,No,No,Method of StructuredAnswer,in text: String,Int,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Method signatures extracted from StructuredAnswer
hedgedClaimText,StructuredAnswer,OpenIntelligence/Core/Models/StructuredAnswer.swift,1156-1174,internal,No,No,Method of StructuredAnswer,_ claim: String,String,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Method signatures extracted from StructuredAnswer
sentenceWithCitations,StructuredAnswer,OpenIntelligence/Core/Models/StructuredAnswer.swift,1176-1186,internal,No,No,Method of StructuredAnswer,"_ sentence: String, citations: [String]",String,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Method signatures extracted from StructuredAnswer
punctuatedSentence,StructuredAnswer,OpenIntelligence/Core/Models/StructuredAnswer.swift,1188-1195,internal,No,No,Method of StructuredAnswer,_ text: String,String,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Method signatures extracted from StructuredAnswer
lowercasedLeadingCharacter,StructuredAnswer,OpenIntelligence/Core/Models/StructuredAnswer.swift,1197-1200,internal,No,No,Method of StructuredAnswer,_ text: String,String,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Method signatures extracted from StructuredAnswer
isAtLeast,WorkspaceTier,OpenIntelligence/Core/Models/WorkspaceTier.swift,29-31,internal,No,No,Method of WorkspaceTier,_ tier: WorkspaceTier,Bool,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/WorkspaceTier.swift,scan_codebase.py,Method signatures extracted from WorkspaceTier
selection,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,10-10,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
soft,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,11-11,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
light,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,12-12,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
medium,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,13-13,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
success,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,14-14,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
warning,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,15-15,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
tick,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,16-16,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
toggle,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,17-17,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
copy,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,18-18,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
processingPulse,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,19-19,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
generationStarted,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,20-20,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
generationTick,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,21-21,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
generationComplete,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,22-22,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
documentIngested,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,23-23,internal,No,No,Method of DSHaptics,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
thermalPulse,DSHaptics,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,24-24,internal,No,No,Method of DSHaptics,intensity _: Double = 0.5,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from DSHaptics
indexContainer,SpotlightIndexService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,32-32,private,No,No,Method of SpotlightIndexService,_: KnowledgeContainer,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from SpotlightIndexService
deindexContainer,SpotlightIndexService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,34-34,internal,No,No,Method of SpotlightIndexService,id _: UUID,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from SpotlightIndexService
indexDocument,SpotlightIndexService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,36-47,internal,No,No,Method of SpotlightIndexService,"
        id _: UUID,
        filename _: String,
        containerId _: UUID,
        containerName _: String,
        textPreview _: String,
        pageCount _: Int? = nil,
        chunkCount _: Int? = nil,
        fileSize _: Int64? = nil,
        keywords _: [String]? = nil,
        contentType _: UTType = .plainText
    ",,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from SpotlightIndexService
deindexDocument,SpotlightIndexService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,49-49,internal,No,No,Method of SpotlightIndexService,id _: UUID,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from SpotlightIndexService
deindexAllDocuments,SpotlightIndexService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,51-51,internal,No,No,Method of SpotlightIndexService,in _: UUID,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from SpotlightIndexService
indexChunk,SpotlightIndexService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,53-64,internal,No,No,Method of SpotlightIndexService,"
        id: UUID,
        documentId: UUID,
        documentName: String,
        containerId: UUID,
        containerName: String,
        content: String,
        pageNumber: Int?,
        sectionTitle: String?,
        chunkIndex: Int,
        keywords: [String]?
    ",,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from SpotlightIndexService
indexDocumentChunks,SpotlightIndexService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,66-72,internal,No,No,Method of SpotlightIndexService,"
        documentId: UUID,
        documentName: String,
        chunks: [DocumentChunk],
        containerId: UUID,
        containerName: String
    ",,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from SpotlightIndexService
canAddDocument,EntitlementStore,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,88-90,internal,No,No,Method of EntitlementStore,currentCount: Int,Bool,,,No,No,Yes,No,No,No,Yes,No,No,Medium,High,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from EntitlementStore
refreshTransientState,EntitlementStore,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,92-92,internal,No,No,Method of EntitlementStore,,,,,No,No,Yes,No,No,No,Yes,No,No,Medium,High,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from EntitlementStore
consumeMaximumModeUseIfNeeded,EntitlementStore,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,94-96,internal,No,No,Method of EntitlementStore,,MaximumModeExecutionDecision,,,No,No,Yes,No,No,No,Yes,No,No,Medium,High,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from EntitlementStore
currentEffectiveTier,EntitlementStore,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,98-100,internal,No,No,Method of EntitlementStore,defaults: UserDefaults = .standard,WorkspaceTier,,,No,No,Yes,No,No,No,Yes,No,No,Medium,High,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from EntitlementStore
currentLibraryLimit,EntitlementStore,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,102-104,internal,No,No,Method of EntitlementStore,defaults: UserDefaults = .standard,Int,,,No,No,Yes,No,No,No,Yes,No,No,Medium,High,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from EntitlementStore
invalidate,ProjectionCache,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,124-124,private,No,No,Method of ProjectionCache,forContainer _: UUID,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from ProjectionCache
saveTranscript,TranscriptPersistenceService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,135-135,private,No,No,Method of TranscriptPersistenceService,"_ _: Transcript, for _: UUID",Bool,,,No,No,No,No,No,No,No,No,No,Medium,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from TranscriptPersistenceService
saveTranscriptTrimmed,TranscriptPersistenceService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,138-138,internal,No,No,Method of TranscriptPersistenceService,"_ _: Transcript, for _: UUID",Bool,,,No,No,No,No,No,No,No,No,No,Medium,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from TranscriptPersistenceService
loadTranscript,TranscriptPersistenceService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,140-140,internal,No,No,Method of TranscriptPersistenceService,for _: UUID,Transcript?,,,No,No,No,No,No,No,No,No,No,Medium,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from TranscriptPersistenceService
deleteTranscript,TranscriptPersistenceService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,142-142,internal,No,No,Method of TranscriptPersistenceService,for _: UUID,,,,No,No,No,No,No,No,No,No,No,Medium,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from TranscriptPersistenceService
hasTranscript,TranscriptPersistenceService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,144-144,internal,No,No,Method of TranscriptPersistenceService,for _: UUID,Bool,,,No,No,No,No,No,No,No,No,No,Medium,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from TranscriptPersistenceService
streamResponse,LanguageModelSession,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,197-199,internal,No,No,Method of LanguageModelSession,"to prompt: String, options: GenerationOptions, contextOptions: ContextOptions?",LanguageModelSession.ResponseStream<String>,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Method signatures extracted from LanguageModelSession
setBaseDirectory,OpenIntelligenceRuntimePaths,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,7-11,internal,No,No,Method of OpenIntelligenceRuntimePaths,_ url: URL?,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,scan_codebase.py,Method signatures extracted from OpenIntelligenceRuntimePaths
setLocalCacheDirectory,OpenIntelligenceRuntimePaths,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,13-17,internal,No,No,Method of OpenIntelligenceRuntimePaths,_ url: URL?,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,scan_codebase.py,Method signatures extracted from OpenIntelligenceRuntimePaths
resetOverrides,OpenIntelligenceRuntimePaths,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,19-24,internal,No,No,Method of OpenIntelligenceRuntimePaths,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,scan_codebase.py,Method signatures extracted from OpenIntelligenceRuntimePaths
applicationSupportRoot,OpenIntelligenceRuntimePaths,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,26-32,internal,No,No,Method of OpenIntelligenceRuntimePaths,"defaultFolderName: String = ""                """,URL,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,scan_codebase.py,Method signatures extracted from OpenIntelligenceRuntimePaths
baseDirectory,OpenIntelligenceRuntimePaths,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,34-48,internal,No,No,Method of OpenIntelligenceRuntimePaths,"defaultFolderName: String = ""                """,URL,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,scan_codebase.py,Method signatures extracted from OpenIntelligenceRuntimePaths
localCacheDirectory,OpenIntelligenceRuntimePaths,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,50-67,internal,No,No,Method of OpenIntelligenceRuntimePaths,"defaultFolderName: String = ""                """,URL,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,scan_codebase.py,Method signatures extracted from OpenIntelligenceRuntimePaths
url,OpenIntelligenceResourceBundle,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,86-88,internal,No,No,Method of OpenIntelligenceResourceBundle,"forResource name: String, withExtension ext: String",URL?,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,scan_codebase.py,Method signatures extracted from OpenIntelligenceResourceBundle
resolveSwiftPackageBundle,OpenIntelligenceResourceBundle,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,91-122,internal,No,No,Method of OpenIntelligenceResourceBundle,,Bundle?,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,scan_codebase.py,Method signatures extracted from OpenIntelligenceResourceBundle
tierCard,PlanUpgradeSheet,OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,219-231,internal,No,No,Method of PlanUpgradeSheet,for option: PlanTierOption,some View,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,scan_codebase.py,Method signatures extracted from PlanUpgradeSheet
storySlideView,PlanUpgradeSheet,OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,320-338,internal,No,No,Method of PlanUpgradeSheet,_ slide: PlanStorySlide,some View,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,scan_codebase.py,Method signatures extracted from PlanUpgradeSheet
section,PrivacyPolicyView,OpenIntelligence/Features/Billing/PrivacyPolicyView.swift,132-142,internal,No,No,Method of PrivacyPolicyView,"title: String, content: String",some View,,,No,No,No,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/Features/Billing/PrivacyPolicyView.swift,scan_codebase.py,Method signatures extracted from PrivacyPolicyView
section,TermsOfServiceView,OpenIntelligence/Features/Billing/TermsOfServiceView.swift,104-114,internal,No,No,Method of TermsOfServiceView,"title: String, content: String",some View,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Billing/TermsOfServiceView.swift,scan_codebase.py,Method signatures extracted from TermsOfServiceView
configureSession,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,63-112,internal,No,No,Method of CameraManager,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
startSession,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,116-126,internal,No,No,Method of CameraManager,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
stopSession,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,128-138,internal,No,No,Method of CameraManager,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
setFlash,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,140-152,internal,No,No,Method of CameraManager,_ enabled: Bool,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
captureFullAnalysis,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,157-171,internal,Yes,Yes,Method of CameraManager,,CaptureResult,,,No,No,No,No,No,No,No,No,No,Low,Medium,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
captureDocumentStructure,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,174-188,internal,Yes,Yes,Method of CameraManager,,CaptureResult,,,No,No,No,No,No,No,No,No,No,Low,Medium,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
analyzeFrame,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,193-415,internal,No,No,Method of CameraManager,_ pixelBuffer: CVPixelBuffer,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
analyzeCapture,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,418-547,internal,Yes,No,Method of CameraManager,"_ image: CGImage, isDocumentCapture: Bool",CaptureResult,,,No,No,No,No,No,No,No,No,No,Low,Medium,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
generateImageDescription,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,550-589,internal,No,No,Method of CameraManager,"
        sceneLabels: [String],
        detectedObjects: [String],
        hasText: Bool
    ",String,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
captureOutput,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,595-612,internal,No,No,Method of CameraManager,"
        _ output: AVCaptureOutput,
        didOutput sampleBuffer: CMSampleBuffer,
        from connection: AVCaptureConnection
    ",,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
performFrameAnalysis,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,615-773,private,No,No,Method of CameraManager,ciImage: CIImage,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
photoOutput,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,779-816,internal,No,No,Method of CameraManager,"
        _ output: AVCapturePhotoOutput,
        didFinishProcessingPhoto photo: AVCapturePhoto,
        error: Error?
    ",,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
createHumanPose,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,824-944,internal,No,No,Method of CameraManager,from observation: VNHumanBodyPoseObservation,DetectedPose?,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
createAnimalPose,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,949-1073,internal,No,No,Method of CameraManager,from observation: VNAnimalBodyPoseObservation,DetectedPose?,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
formatClassificationLabel,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,1090-1100,internal,No,No,Method of CameraManager,_ identifier: String,String,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
categorizeLabel,CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,1104-1203,internal,No,No,Method of CameraManager,_ identifier: String,ClassificationCategory,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Method signatures extracted from CameraManager
colorForDetectedObject,CameraVisionOverlayView,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,298-305,internal,No,No,Method of CameraVisionOverlayView,_ label: String,Color,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Method signatures extracted from CameraVisionOverlayView
handleFrameAnalysis,CameraVisionOverlayView,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,494-522,internal,No,No,Method of CameraVisionOverlayView,_ analysis: FrameAnalysis,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Method signatures extracted from CameraVisionOverlayView
smoothDocumentRegions,CameraVisionOverlayView,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,525-592,internal,No,No,Method of CameraVisionOverlayView,_ regions: [DetectedRegion],[DetectedRegion],,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Method signatures extracted from CameraVisionOverlayView
captureTextOnly,CameraVisionOverlayView,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,594-610,internal,No,No,Method of CameraVisionOverlayView,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Method signatures extracted from CameraVisionOverlayView
performFullCapture,CameraVisionOverlayView,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,612-630,internal,No,No,Method of CameraVisionOverlayView,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Method signatures extracted from CameraVisionOverlayView
captureDocument,CameraVisionOverlayView,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,632-650,internal,No,No,Method of CameraVisionOverlayView,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Method signatures extracted from CameraVisionOverlayView
handleCapture,CameraVisionOverlayView,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,652-669,internal,No,No,Method of CameraVisionOverlayView,_ result: CaptureResult,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Method signatures extracted from CameraVisionOverlayView
makeUIView,CameraPreviewLayer,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,803-807,internal,No,No,Method of CameraPreviewLayer,context: Context,CameraPreviewUIView,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Method signatures extracted from CameraPreviewLayer
