model_name,file_path,conforms_to,persisted,codable,sendable,identifiable,storage_location_if_persisted,owner_service,used_by,important_fields,schema_or_migration_risk,relevant_docs,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
CodingKeys,OpenIntelligence/Core/Models/StructuredAnswer.swift,"String, CodingKey",No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Parsed model schema
CodingKeys,OpenIntelligence/Core/Models/StructuredAnswer.swift,"String, CodingKey",No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Parsed model schema
Builder,OpenIntelligence/Core/Models/StructuredAnswer.swift,,No,No,No,No,,,,"refuse: Bool, answerType: AnswerType, answer: String, claims: [Claim], evidence: [Evidence], missing: [String], topScore: Float, loops: Int, intent: String, gateResults: [String: Bool]?",Low,,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Parsed model schema
ThinkingEvent,OpenIntelligence/Core/Models/ThinkingEvent.swift,"Identifiable, Sendable, Equatable",No,No,Yes,Yes,,,,"id: , timestamp: Date, kind: Kind, title: String, detail: String?",Low,,code_verified,high,OpenIntelligence/Core/Models/ThinkingEvent.swift,scan_codebase.py,Parsed model schema
Kind,OpenIntelligence/Core/Models/ThinkingEvent.swift,"String, CaseIterable, Sendable",No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/ThinkingEvent.swift,scan_codebase.py,Parsed model schema
WorkspaceTier,OpenIntelligence/Core/Models/WorkspaceTier.swift,"String, Codable, CaseIterable",No,Yes,No,No,,,,"displayName: String, rank: Int",Low,,code_verified,high,OpenIntelligence/Core/Models/WorkspaceTier.swift,scan_codebase.py,Parsed model schema
LegacyProtectionState,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,"String, Codable, Sendable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Parsed model schema
MaximumModeExecutionDecision,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,Sendable,No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Parsed model schema
PlanStorySlide,OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,Identifiable,No,No,No,Yes,,,,"id: , title: String, subtitle: String, icon: String, tint: Color",Low,,code_verified,high,OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,scan_codebase.py,Parsed model schema
RegionType,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,"String, CaseIterable, Identifiable",No,No,No,Yes,,,,"id: String, displayName: String, icon: String, color: Color",Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Parsed model schema
DetectedRegion,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Identifiable,No,No,No,Yes,,,,"id: , type: RegionType, boundingBox: CGRect, confidence: Float, preview: String?",Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Parsed model schema
PoseJoint,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Identifiable,No,No,No,Yes,,,,"id: , name: String, position: CGPoint, confidence: Float",Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Parsed model schema
PoseConnection,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Identifiable,No,No,No,Yes,,,,"id: , from: CGPoint, to: CGPoint, confidence: Float",Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Parsed model schema
DetectedPose,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Identifiable,No,No,No,Yes,,,,"id: , isHuman: Bool, joints: [PoseJoint], connections: [PoseConnection], boundingBox: CGRect, confidence: Float",Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Parsed model schema
ChatAttachment,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,"Identifiable, Sendable",No,No,Yes,Yes,,,,"id: , url: URL, type: AttachmentType, thumbnail: UIImage?, icon: String",Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,scan_codebase.py,Parsed model schema
AttachmentType,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,"String, Sendable",No,No,Yes,No,,,,icon: String,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,scan_codebase.py,Parsed model schema
ToastItem,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,"Identifiable, Equatable",No,No,No,Yes,,,,"id: UUID, title: String, icon: String, tint: Color, haptic: Bool, timestamp: Date",Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,scan_codebase.py,Parsed model schema
SharePayload,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,Identifiable,No,No,No,Yes,,,,"id: , items: [Any]",Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,scan_codebase.py,Parsed model schema
AnswerIntelligence,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,"Identifiable, Sendable",No,No,Yes,Yes,,,,"id: UUID, generatedAt: Date, gatesPassed: Int, gatesTotalCount: Int, gateDetails: [GateDetail], citationCount: Int, verifiedCitations: Int, sourcesUsed: [SourceInfo], overallConfidence: Double, retrievalConfidence: Double",Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,scan_codebase.py,Parsed model schema
GateDetail,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,"Identifiable, Sendable",No,No,Yes,Yes,,,,"id: UUID, name: String, passed: Bool, confidence: Double, description: String, icon: String",Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,scan_codebase.py,Parsed model schema
SourceInfo,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,"Identifiable, Sendable",No,No,Yes,Yes,,,,"id: UUID, documentName: String, relevanceScore: Double, chunkCount: Int",Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,scan_codebase.py,Parsed model schema
IdentifiableChunk,OpenIntelligence/Features/Chat/Response/GroundedAnswerView.swift,Identifiable,No,No,No,Yes,,,,"chunk: RetrievedChunk, id: UUID",Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/GroundedAnswerView.swift,scan_codebase.py,Parsed model schema
ReportReason,OpenIntelligence/Features/Chat/Response/ReportMessageSheet.swift,"String, CaseIterable, Identifiable",No,No,No,Yes,,,,id: String,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ReportMessageSheet.swift,scan_codebase.py,Parsed model schema
VerificationInfo,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,,No,No,No,No,,,,"title: String, subtitle: String, icon: String, color: Color, level: VerificationLevel",Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,scan_codebase.py,Parsed model schema
ChipData,OpenIntelligence/Features/Chat/Response/SourceChipsView.swift,Identifiable,No,No,No,Yes,,,,"id: , index: Int, percent: Double, tint: Color, sourceName: String, quality: String",Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/SourceChipsView.swift,scan_codebase.py,Parsed model schema
RetrievalMode,OpenIntelligence/Features/Chat/Response/UnifiedMetricsBar.swift,"String, Sendable",No,No,Yes,No,,,,"icon: String, color: Color",Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/UnifiedMetricsBar.swift,scan_codebase.py,Parsed model schema
VerificationGate,OpenIntelligence/Features/Chat/Response/VerificationGatesOverlayView.swift,Identifiable,No,No,No,Yes,,,,"id: Int, title: String, kind: ThinkingEvent.Kind, secondaryKind: ThinkingEvent.Kind?, status: GateStatus",Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/VerificationGatesOverlayView.swift,scan_codebase.py,Parsed model schema
RebuildLogEntry,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,Identifiable,No,No,No,Yes,,,,"id: , timestamp: Date, message: String, type: LogType, icon: String, color: Color",Low,,code_verified,high,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,scan_codebase.py,Parsed model schema
DatabaseSection,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,"String, CaseIterable, Identifiable",No,No,No,Yes,,,,"id: String, label: String, icon: String",Low,,code_verified,high,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,scan_codebase.py,Parsed model schema
ChunkInspectionResult,OpenIntelligence/Features/Diagnostics/Validation/ChunkInspectorView.swift,Identifiable,No,No,No,Yes,,,,"id: UUID, chunkIndex: Int, content: String, snippet: String?, pageNumber: Int?, sectionTitle: String?, structureType: String?, wordCount: Int, similarity: Double?, bm25Score: Double?",Low,,code_verified,high,OpenIntelligence/Features/Diagnostics/Validation/ChunkInspectorView.swift,scan_codebase.py,Parsed model schema
ScopingTestResult,OpenIntelligence/Features/Diagnostics/Validation/ContainerScopingSelfTestsView.swift,Identifiable,No,No,No,Yes,,,,"id: , name: String, status: Status, details: String?, icon: String, tint: Color",Low,,code_verified,high,OpenIntelligence/Features/Diagnostics/Validation/ContainerScopingSelfTestsView.swift,scan_codebase.py,Parsed model schema
EmbeddingProviderOption,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,Identifiable,No,No,No,Yes,,,,"id: String, icon: String, title: String, tagline: String, detail: String, isSelectable: Bool, badgeText: String?, supportedDimensions: [Int], metrics: [OptionMetric], alert: ProviderAvailabilityAlert?",Low,,code_verified,high,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,scan_codebase.py,Parsed model schema
DimensionOption,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,Identifiable,No,No,No,Yes,,,,"value: Int, icon: String, title: String, caption: String, detail: String, metrics: [OptionMetric], id: Int",Low,,code_verified,high,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,scan_codebase.py,Parsed model schema
VectorDBOptionDescriptor,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,Identifiable,No,No,No,Yes,,,,"kind: VectorDBKind, icon: String, title: String, caption: String, detail: String, id: VectorDBKind",Low,,code_verified,high,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,scan_codebase.py,Parsed model schema
ProviderAvailabilityAlert,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,Identifiable,No,No,No,Yes,,,,"id: String, icon: String, title: String, description: String, bullets: [String], accent: Color",Low,,code_verified,high,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,scan_codebase.py,Parsed model schema
LibraryThemePreset,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,Identifiable,No,No,No,Yes,,,,"id: String, title: String, icon: String, colorHex: String, description: String, retrievalPreset: RetrievalConfig?, subtitle: String",Low,,code_verified,high,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,scan_codebase.py,Parsed model schema
ReembedContext,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,Identifiable,No,No,No,Yes,,,,"containerId: UUID, reason: String, documentCount: Int, id: UUID",Low,,code_verified,high,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,scan_codebase.py,Parsed model schema
OptionMetric,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,Identifiable,No,No,No,Yes,,,,"id: , icon: String, text: String, tint: Color",Low,,code_verified,high,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,scan_codebase.py,Parsed model schema
PipelineLogEntry,OpenIntelligence/Features/Onboarding/OnboardingChecklistView.swift,Identifiable,No,No,No,Yes,,,,"id: , timestamp: , icon: String, color: Color, text: String",Low,,code_verified,high,OpenIntelligence/Features/Onboarding/OnboardingChecklistView.swift,scan_codebase.py,Parsed model schema
InferencePreset,OpenIntelligence/Features/Settings/Components/ModelConfigurationSheet.swift,"String, CaseIterable, Identifiable",No,No,No,Yes,,,,"id: String, icon: String, description: String, color: Color",Low,,code_verified,high,OpenIntelligence/Features/Settings/Components/ModelConfigurationSheet.swift,scan_codebase.py,Parsed model schema
SystemPromptTemplate,OpenIntelligence/Features/Settings/Components/ModelConfigurationSheet.swift,"String, CaseIterable, Identifiable",No,No,No,Yes,,,,"id: String, prompt: String",Low,,code_verified,high,OpenIntelligence/Features/Settings/Components/ModelConfigurationSheet.swift,scan_codebase.py,Parsed model schema
ModelPipelineStage,OpenIntelligence/Features/Settings/Components/ModelPipelineStage.swift,Identifiable,No,No,No,Yes,,,,"title: String, shortCode: String, tint: Color, id: String, name: String, role: Role, detail: String, status: Status, icon: String",Low,,code_verified,high,OpenIntelligence/Features/Settings/Components/ModelPipelineStage.swift,scan_codebase.py,Parsed model schema
FeatureItem,OpenIntelligence/Features/Settings/SettingsView.swift,Identifiable,No,No,No,Yes,,,,"id: String, icon: String, label: String, desc: String, color: Color, isDivider: Bool, isWarning: Bool",Low,,code_verified,high,OpenIntelligence/Features/Settings/SettingsView.swift,scan_codebase.py,Parsed model schema
TopicColorItem,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,Hashable,No,No,No,No,,,,"name: String, color: Color, count: Int",Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,scan_codebase.py,Parsed model schema
EmbeddingInsight,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,"Identifiable, Equatable",No,No,No,Yes,,,,"id: , icon: String, title: String, detail: String, accent: Color",Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,scan_codebase.py,Parsed model schema
PointAnnotationLabel,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,"Identifiable, Equatable",No,No,No,Yes,,,,"id: , pointIndex: Int, docId: UUID, title: String, detail: String, keywords: [String], normalizedX: CGFloat, normalizedY: CGFloat, depthHint: CGFloat, accent: Color",Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,scan_codebase.py,Parsed model schema
EmbeddingSceneBackgroundStyle,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,"String, CaseIterable, Identifiable",No,No,No,Yes,,,,"id: String, displayName: String, iconName: String, gradientSpec: GradientSpec, fogColor: PlatformColor, labelTextColor: PlatformColor, labelBackgroundColor: PlatformColor, isDark: Bool, colors: [PlatformColor], startPoint: CGPoint",Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,scan_codebase.py,Parsed model schema
VizLegendItem,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,Identifiable,No,No,No,Yes,,,,"docId: UUID, name: String, color: Color, count: Int, id: UUID",Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,scan_codebase.py,Parsed model schema
AnnotationData,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,Identifiable,No,No,No,Yes,,,,"id: , position: SCNVector3, title: String, keywords: [String], color: PlatformColor, detailLevel: Int, clusterSize: Int, isDocumentCluster: Bool",Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,scan_codebase.py,Parsed model schema
TappedPointInfo,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,Identifiable,No,No,No,Yes,,,,"id: , index: Int, position: SCNVector3",Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,scan_codebase.py,Parsed model schema
DashboardTab,OpenIntelligence/Features/Telemetry/Visualizations/VisualizationsView.swift,"String, CaseIterable, Identifiable",No,No,No,Yes,,,,"id: String, label: String, icon: String",Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/VisualizationsView.swift,scan_codebase.py,Parsed model schema
ProjectionMethod,OpenIntelligence/Features/Telemetry/Visualizations/VisualizationsView.swift,"String, CaseIterable, Identifiable",No,No,No,Yes,,,,id: String,Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/VisualizationsView.swift,scan_codebase.py,Parsed model schema
ChunkHitStat,OpenIntelligence/Features/Telemetry/Visualizations/VisualizationsView.swift,Identifiable,No,No,No,Yes,,,,"id: UUID, docId: UUID, docName: String, chunkIndex: Int, hits: Int, averageSimilarity: Double, lastRetrieved: Date, pageNumber: Int?, sectionTitle: String?, snippet: String",Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/VisualizationsView.swift,scan_codebase.py,Parsed model schema
DocumentHitStat,OpenIntelligence/Features/Telemetry/Visualizations/VisualizationsView.swift,Identifiable,No,No,No,Yes,,,,"id: UUID, name: String, hits: Int, uniqueChunks: Int",Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/VisualizationsView.swift,scan_codebase.py,Parsed model schema
Stage,OpenIntelligence/Features/Telemetry/Visualizations/VisualizationsView.swift,Identifiable,No,No,No,Yes,,,,"id: String, name: String, detail: String, icon: String, category: TelemetryCategory",Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/VisualizationsView.swift,scan_codebase.py,Parsed model schema
OIAvailabilityState,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,"Equatable, Sendable",No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OIExecutionContext,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,"String, Sendable",No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OIQueryQualityMode,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,"String, CaseIterable, Identifiable, Sendable",No,No,Yes,Yes,,,,"id: String, displayName: String, description: String, systemImage: String",Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OIEngineConfiguration,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,Sendable,No,No,Yes,No,,,,"storageURL: URL?, allowPrivateCloudCompute: Bool, executionContext: OIExecutionContext",Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OILibrary,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,"Identifiable, Hashable, Sendable",No,No,Yes,Yes,,,,"id: UUID, name: String, documentCount: Int, chunkCount: Int",Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OIDocument,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,"Identifiable, Hashable, Sendable",No,No,Yes,Yes,,,,"id: UUID, filename: String, addedAt: Date, chunkCount: Int, libraryID: UUID?, contentType: String",Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OIIngestRequest,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,Sendable,No,No,Yes,No,,,,"urls: [URL], libraryName: String?",Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OIIngestResult,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,Sendable,No,No,Yes,No,,,,"importedDocuments: Int, failedDocuments: Int, totalDocuments: Int, totalLibraryDocuments: Int, totalLibraryChunks: Int, warnings: [String]",Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OIQueryRequest,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,Sendable,No,No,Yes,No,,,,"question: String, libraryName: String?, topK: Int, qualityMode: OIQueryQualityMode",Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OIQueryStreamEvent,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,Sendable,No,No,Yes,No,,,,"text: String, isFinal: Bool",Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OIQueryProgressEvent,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,"Identifiable, Sendable",No,No,Yes,Yes,,,,"id: UUID, timestamp: Date, phase: String, title: String, detail: String?, systemImage: String, isGenerating: Bool, liveTokenCount: Int, liveStepCount: Int, liveConfidence: Float",Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OIQueryDiagnostics,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,Sendable,No,No,Yes,No,,,,"retrievedChunkCount: Int, candidateChunkCount: Int?, rerankedChunkCount: Int?, contextChunkCount: Int?, retrievalTime: TimeInterval, generationTime: TimeInterval, timeToFirstToken: TimeInterval?, tokensGenerated: Int, tokensPerSecond: Float?, contextStrategy: String?",Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OICitation,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,Sendable,No,No,Yes,No,,,,"source: String, page: Int?, quote: String?",Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OIQueryResult,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,Sendable,No,No,Yes,No,,,,"answer: String, citations: [OICitation], confidence: Float, abstained: Bool, warnings: [String], modelName: String, qualityMode: OIQueryQualityMode, reasoningTrace: [String], diagnostics: OIQueryDiagnostics",Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
OpenIntelligenceEngineError,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,"LocalizedError, Sendable",No,No,Yes,No,,,,errorDescription: String?,Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Parsed model schema
FoundationModelDynamicProfile,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelDynamicProfileRegistry.swift,"String, CaseIterable, Sendable",No,No,Yes,No,,,,systemPrompt: String,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelDynamicProfileRegistry.swift,scan_codebase.py,Parsed model schema
FoundationModelDynamicProfileRegistry,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelDynamicProfileRegistry.swift,Sendable,No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelDynamicProfileRegistry.swift,scan_codebase.py,Parsed model schema
FoundationModelErrorMapper,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelErrorMapper.swift,,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelErrorMapper.swift,scan_codebase.py,Parsed model schema
MappedResult,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelErrorMapper.swift,,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelErrorMapper.swift,scan_codebase.py,Parsed model schema
FoundationModelPromptCompiler,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelPromptCompiler.swift,Sendable,No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelPromptCompiler.swift,scan_codebase.py,Parsed model schema
PCCReasoningLevel,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoute.swift,"String, Sendable, Equatable",No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoute.swift,scan_codebase.py,Parsed model schema
AppleFoundationModelRoute,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoute.swift,"Sendable, Equatable",No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoute.swift,scan_codebase.py,Parsed model schema
QueryType,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoutePolicy.swift,,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoutePolicy.swift,scan_codebase.py,Parsed model schema
SessionResult,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelSessionFactory.swift,,No,No,No,No,,,,"session: LanguageModelSession, currentSystemPrompt: String?, pendingTranscriptConsumed: Bool, actualRoute: AppleFoundationModelRoute",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelSessionFactory.swift,scan_codebase.py,Parsed model schema
FoundationModelStructuredGenerator,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelStructuredGenerator.swift,,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelStructuredGenerator.swift,scan_codebase.py,Parsed model schema
SearchDocumentsTool,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,Tool,No,No,No,No,,,,"name: , description: , ragService: RAGService?, query: String, topK: Int?, minSimilarity: Float?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
Arguments,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,,No,No,No,No,,,,"query: String, topK: Int?, minSimilarity: Float?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
ListDocumentsTool,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,Tool,No,No,No,No,,,,"name: , description: , ragService: RAGService?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
Arguments,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
GetDocumentSummaryTool,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,Tool,No,No,No,No,,,,"name: , description: , ragService: RAGService?, documentName: String",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
Arguments,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,,No,No,No,No,,,,documentName: String,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
CountPatternTool,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,Tool,No,No,No,No,,,,"name: , description: , pattern: String",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
SearchExactPatternTool,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,Tool,No,No,No,No,,,,"name: , description: , ragService: RAGService?, pattern: String",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
