component_id,component_name,subsystem,owning_files,main_entities,entry_points,depends_on,used_by,reads_from,writes_to,sync_boundary,cloud_boundary,billing_boundary,app_intent_boundary,risk_level,relevant_docs,notes,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
DatabaseDashboardView,DatabaseDashboardView,SQLite/FTS storage,OpenIntelligence/Features/Database/DatabaseDashboardView.swift,"DatabaseDashboardView, RebuildLogEntry, LogType, DatabaseSection, QuickStat, DatabaseStatusBadge, DatabaseMetricCard, PerformanceComparisonRow, DocumentStatRow, IndexStatCard, TokenizerInfoRow, FeatureBadge, SearchTip, SearchResultRow, DiagnosticCard, MiniStatCard, DatabaseInfoRow, HealthIndicator, Status, LibraryIntelligenceCard, IntelligenceMetricRow, CorpusSignalBadge, IntelligenceExplanationRow, DocumentPreviewSheet, AnalysisStats, MetadataCard, AnalysisCard, CharacterBreakdownRow","loadAllData, databaseHealthCard, containerBreakdownCard, loadStatistics, performSearch",SQLite3,"retrieval, document import",SQLite FTS index,SQLite FTS index,no,no,no,no,medium,Docs/Engineering/STORAGE_AND_PIPELINE_TRACE.md,Relational metadata and Full-Text Search database,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
DeveloperDiagnosticsHubView,DeveloperDiagnosticsHubView,PCC routing/consent,OpenIntelligence/Features/Diagnostics/Hub/DeveloperDiagnosticsHubView.swift,DeveloperDiagnosticsHubView,"statusItem, applyLoggingSettings, applyProductionPreset, applyDevelopmentPreset, applyDebugPreset","AppleFoundationModels, SettingsStore",retrieval,UserDefaults,,no,yes,no,no,high,Docs/PRIVACY_AND_ROUTING.md,PCC boundary routing and user consent,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
BackendHealthDiagnosticsView,BackendHealthDiagnosticsView,Apple Foundation Models,OpenIntelligence/Features/Diagnostics/Monitoring/BackendHealthDiagnosticsView.swift,BackendHealthDiagnosticsView,"capabilityRow, checkAppleFMAvailability",,,,,no,no,no,no,high,Docs/Engineering/APPLE_MODELS.md,Local Apple FM inference wrapper,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
LiveSystemMonitorWrapper,LiveSystemMonitorWrapper,diagnostics/telemetry,OpenIntelligence/Features/Diagnostics/Monitoring/LiveSystemMonitorWrapper.swift,LiveSystemMonitorWrapper,"liveMetricCard, thermalDetailText, batteryDetailText, formatMemorySize, pipelineDetailText",,,,,no,no,no,no,low,Docs/EVALS.md,Monitors pipeline performance and hardware usage,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ChunkInspectorView,ChunkInspectorView,semantic chunking,OpenIntelligence/Features/Diagnostics/Validation/ChunkInspectorView.swift,"ChunkInspectorView, InspectionMode, ChunkSortOrder, ChunkRowView, ChunkDetailSheet, ChunkInspectionResult, CorpusVerificationResult","statPill, quickSearchChip, corpusVerificationBadge, performSearch, performSemanticSearch",,,,,no,no,no,no,low,Docs/INGESTION_PIPELINE.md,Splits text blocks using semantic density,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ContainerScopingSelfTestsView,ContainerScopingSelfTestsView,tests,OpenIntelligence/Features/Diagnostics/Validation/ContainerScopingSelfTestsView.swift,"ContainerScopingSelfTestsView, ScopingTestResult, Status","runAllTests, scopedListingDiffersAcrossContainers, oneOffOverrideRetrievalIsScoped, agenticToolCallsObeyQueryContext, parseDocNames",,,,,no,no,no,no,low,Docs/EVALS.md,Unit/Integration Test suite,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
CoreValidationView,CoreValidationView,generation,OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,"CoreValidationView, ModernStatusCard, EmbeddingStatusCard, EmbeddingTelemetryList, StatusPill, ModernTestResultCard, ModernTestInfoSection, ModernTestInfoItem, StatusCard, TestResultRow, TestInfoSection, TestInfoItem, TestResult, TestStatus","runAllTests, runTest",,,,,no,no,no,no,medium,Docs/Engineering/RAG_TECHNICAL.md,Local/remote LLM text generation coordination,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
PCCRouteEvaluator,PCCRouteEvaluator,PCC routing/consent,OpenIntelligence/Features/Diagnostics/Validation/PCCRouteEvaluator.swift,PCCRouteEvaluator,"evaluateLargeContextRouting, evaluateExactLookupRouting, evaluateQuotaExceededFallback, evaluatePCCUnavailableFallback, evaluateDeepThinkReasoningLevels","AppleFoundationModels, SettingsStore",retrieval,UserDefaults,,no,yes,no,no,high,Docs/PRIVACY_AND_ROUTING.md,PCC boundary routing and user consent,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
RAGAccuracyView,RAGAccuracyView,diagnostics/telemetry,OpenIntelligence/Features/Diagnostics/Validation/RAGAccuracyView.swift,"RAGAccuracyView, EmbeddingSanityResult","metricPill, determineOverallStatus, embeddingResultsView, fullMetricsView, pipelineCensusView",,,,,no,no,no,no,low,Docs/EVALS.md,Monitors pipeline performance and hardware usage,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
RAGPipelineAuditView,RAGPipelineAuditView,PCC routing/consent,OpenIntelligence/Features/Diagnostics/Validation/RAGPipelineAuditView.swift,RAGPipelineAuditView,"formatPercent, formatDate","AppleFoundationModels, SettingsStore",retrieval,UserDefaults,,no,yes,no,no,high,Docs/PRIVACY_AND_ROUTING.md,PCC boundary routing and user consent,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ContainerPicker,ContainerPicker,library/container management,OpenIntelligence/Features/Documents/Components/ContainerPicker.swift,"ContainerPillBadgeStyle, ContainerPickerStrip, ContainerPill","foreground, background, documentCountText",,,,,no,no,no,no,low,README.md,Manages workspace libraries and folder scopes,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
DocumentCard,DocumentCard,iCloud/workspace sync,OpenIntelligence/Features/Documents/Components/DocumentCard.swift,"ModernDocumentCard, DeleteMode, ContentTagsRow","tagColor, tagTextColor","iCloud Drive Ubiquity, ContainerService",library/container management,iCloud Drive Ubiquity / SQLite,iCloud Drive Ubiquity / SQLite,yes,no,no,no,high,Docs/AppleIntelligenceTransitionPlan.md,iCloud Drive Ubiquity/iCloud database synchronization,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
DocumentPicker,DocumentPicker,library/container management,OpenIntelligence/Features/Documents/Components/DocumentPicker.swift,"DocumentPicker, Coordinator, DocumentPicker","makeUIViewController, updateUIViewController, makeCoordinator, documentPicker, documentPickerWasCancelled",,,,,no,no,no,no,low,README.md,Manages workspace libraries and folder scopes,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
DocumentQuotaBanner,DocumentQuotaBanner,billing/entitlements,OpenIntelligence/Features/Documents/Components/DocumentQuotaBanner.swift,DocumentQuotaBanner,,"StoreKit, EntitlementStore",library/container management,UserDefaults/Keychain,Keychain,no,no,no,no,high,Docs/BILLING_AND_LIMITS.md,Subscription and paywall management,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
DocumentRow,DocumentRow,library/container management,OpenIntelligence/Features/Documents/Components/DocumentRow.swift,DocumentRow,"iconName, iconName",,,,,no,no,no,no,low,README.md,Manages workspace libraries and folder scopes,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
EmptyDocumentsView,EmptyDocumentsView,library/container management,OpenIntelligence/Features/Documents/Components/EmptyDocumentsView.swift,"EmptyDocumentsView, DocumentFeatureRow",,,,,,no,no,no,no,low,README.md,Manages workspace libraries and folder scopes,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ProcessingSummaryView,ProcessingSummaryView,library/container management,OpenIntelligence/Features/Documents/Components/ProcessingSummaryView.swift,"ProcessingSummaryView, InfoSection, DetailInfoRow",iOSNavigationBarInline,,,,,no,no,no,no,low,README.md,Manages workspace libraries and folder scopes,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
StatsFooter,StatsFooter,library/container management,OpenIntelligence/Features/Documents/Components/StatsFooter.swift,"StatsFooter, AutoIntelligenceBadge",,,,,,no,no,no,no,low,README.md,Manages workspace libraries and folder scopes,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
DocumentDetailsView,DocumentDetailsView,library/container management,OpenIntelligence/Features/Documents/Details/DocumentDetailsView.swift,"DocumentDetailsView, DetailRow, DocumentDetailCardView, QuickStatView, VectorMetricRow, ContentMetricRow, ChunkMetricRow, PerformanceRow, TechnicalRow, ContentTagPill, FlowLayout, Placement, FlowResult","highlightedChunkCard, contentTagsCard, contentAnalysisCard, chunkingStrategyCard, performanceMetricsCard",,,,,no,no,no,no,low,README.md,Manages workspace libraries and folder scopes,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
CachedDocsView,CachedDocsView,library/container management,OpenIntelligence/Features/Documents/Library/CachedDocsView.swift,"CachedDocsView, CachedDocRow, DocPreviewSheet","loadCachedDocs, showPreview, ingestDoc, deleteDoc, pruneExpired",,,,,no,no,no,no,low,README.md,Manages workspace libraries and folder scopes,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
DocumentLibraryView,DocumentLibraryView,iCloud/workspace sync,OpenIntelligence/Features/Documents/Library/DocumentLibraryView.swift,"DocumentLibraryView, DocumentActionChip, DocumentUtilityChipLabel, DocumentImportReview, DocumentImportReadiness, PreviewBillingService","syncBenefitRow, resolvePendingBootstrap, refreshSharedWorkspaceNow, connectExistingICloudLibraries, autoRefreshSharedWorkspaceIfNeeded","iCloud Drive Ubiquity, ContainerService",library/container management,iCloud Drive Ubiquity / SQLite,iCloud Drive Ubiquity / SQLite,yes,no,yes,no,high,Docs/AppleIntelligenceTransitionPlan.md,iCloud Drive Ubiquity/iCloud database synchronization,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
SampleDocumentManager,SampleDocumentManager,library/container management,OpenIntelligence/Features/Documents/Library/SampleDocumentManager.swift,"SampleDocumentDescriptor, SampleDocumentManager","importSamples, writeSamplesToDocumentsDirectory",,,,,no,yes,no,no,low,README.md,Manages workspace libraries and folder scopes,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
SemanticSearchView,SemanticSearchView,library/container management,OpenIntelligence/Features/Documents/Search/SemanticSearchView.swift,"SemanticSearchView, SemanticResultCard, StatusBanner","similarityLabel, performSearch",,,,,no,no,no,no,low,README.md,Manages workspace libraries and folder scopes,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ColorPicker,ColorPicker,settings,OpenIntelligence/Features/Documents/Settings/ColorPicker.swift,"LibraryColorPalette, LibraryColorPicker, ColorPickerButton, AccentColorPicker, AccentColorSettingsRow","paletteTab, colorButton, accentButton, toHex",,,,,no,no,no,no,low,README.md,Application configuration panels,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ContainerSettingsSheet+Sections,ContainerSettingsSheet+Sections,reranking/fusion,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet+Sections.swift,"RetrievalStyle, ChunkingPreview","siliconFeatureRow, siliconInfoPill, corpusIntelligenceCard, intelligenceStatCell, contentBadge",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,TinyBERT re-ranking and RRF search fusion,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ContainerSettingsSheet,ContainerSettingsSheet,iCloud/workspace sync,OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,"ContainerSettingsSheet, EmbeddingProviderOption, DimensionOption, VectorDBOptionDescriptor, ProviderAvailabilityAlert, LibraryThemePreset, ReembedContext, SelectableOptionCard, Pill, OptionMetric, SettingHelpCallout, AutoIntelligencePanel, InsightLine, DocumentContextSummary, DocumentProfileRow, TopicChip, ReembedStatusBanner","supportedDimensions, validateDimensionForProvider, documents, normalizeProviderAndDimension, refreshProviderAvailability","iCloud Drive Ubiquity, ContainerService",library/container management,iCloud Drive Ubiquity / SQLite,iCloud Drive Ubiquity / SQLite,yes,no,yes,no,high,Docs/AppleIntelligenceTransitionPlan.md,iCloud Drive Ubiquity/iCloud database synchronization,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
SFSymbolPicker,SFSymbolPicker,settings,OpenIntelligence/Features/Documents/Settings/SFSymbolPicker.swift,"SFSymbolPicker, SymbolCategory, SFSymbolPickerButton","categoryTab, symbolButton, suggestedSymbolButton",,,,,no,no,no,no,low,README.md,Application configuration panels,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
OnboardingChecklistLauncher,OnboardingChecklistLauncher,onboarding,OpenIntelligence/Features/Onboarding/OnboardingChecklistLauncher.swift,OnboardingChecklistLauncher,,,,,,no,no,no,no,low,README.md,User onboarding and tip system,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
OnboardingChecklistView,OnboardingChecklistView,onboarding,OpenIntelligence/Features/Onboarding/OnboardingChecklistView.swift,"PipelineLogEntry, OnboardingChecklistView, MetricsSnapshot, PipelinePhase, PipelineLogRow, UseCaseCard, ExampleQuestionPill, SplashBackdrop","fmtNumber, fmtMs, dashCounter, pipelineCapsule, compactDetail",,,,,no,yes,no,no,low,README.md,User onboarding and tip system,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
OnboardingStateStore,OnboardingStateStore,onboarding,OpenIntelligence/Features/Onboarding/OnboardingStateStore.swift,"OnboardingStateStore, Keys","markOnboardingCompleted, skipPermanently, markSamplesImported, markAskedFirstQuery, markModelSelectionAcknowledged",,,,,no,no,no,no,low,README.md,User onboarding and tip system,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
AboutView,AboutView,PCC routing/consent,OpenIntelligence/Features/Settings/AboutView.swift,"OpenIntelligenceLinks, AboutView","feedbackMailtoURL, capabilityRow, releaseHighlight, externalLinkRow, openEmail","AppleFoundationModels, SettingsStore",retrieval,UserDefaults,,no,yes,no,no,high,Docs/PRIVACY_AND_ROUTING.md,PCC boundary routing and user consent,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
FeatureRow,FeatureRow,settings,OpenIntelligence/Features/Settings/Components/FeatureRow.swift,FeatureRow,,,,,,no,no,no,no,low,README.md,Application configuration panels,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
InfoRow,InfoRow,settings,OpenIntelligence/Features/Settings/Components/InfoRow.swift,InfoRow,,,,,,no,no,no,no,low,README.md,Application configuration panels,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ModelConfigurationSheet,ModelConfigurationSheet,settings,OpenIntelligence/Features/Settings/Components/ModelConfigurationSheet.swift,"ModelConfigurationSheet, InferencePreset, PresetCard, SystemPromptEditorSheet, SystemPromptTemplate","loadCurrentSettings, applySettings, applyPreset, resetToDefaults",,,,,no,no,no,no,low,README.md,Application configuration panels,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ModelInfoCard,ModelInfoCard,generation,OpenIntelligence/Features/Settings/Components/ModelInfoCard.swift,ModelInfoCard,,,,,,no,yes,no,no,medium,Docs/Engineering/RAG_TECHNICAL.md,Local/remote LLM text generation coordination,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ModelPipelineRow,ModelPipelineRow,settings,OpenIntelligence/Features/Settings/Components/ModelPipelineRow.swift,ModelPipelineRow,color,,,,,no,no,no,no,low,README.md,Application configuration panels,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ModelPipelineStage,ModelPipelineStage,settings,OpenIntelligence/Features/Settings/Components/ModelPipelineStage.swift,"ModelPipelineStage, Role, Status",,,,,,no,no,no,no,low,README.md,Application configuration panels,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ModelSelectorSheet,ModelSelectorSheet,generation,OpenIntelligence/Features/Settings/Components/ModelSelectorSheet.swift,ModelSelectorSheet,"sectionHeader, modelPreviewSheet, specRow, activateModel",,,,,no,no,yes,no,medium,Docs/Engineering/RAG_TECHNICAL.md,Local/remote LLM text generation coordination,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
SettingsView,SettingsView,App Intents/Siri/Shortcuts,OpenIntelligence/Features/Settings/SettingsView.swift,"SettingsView, FeatureItem, until","statusPill, quotaItem, modelCapabilityPill, resolvePendingBootstrap, routingFactorPill","retrieval, document import",SiriDaemon,,,yes,yes,yes,yes,high,Docs/ROADMAP.md,Siri and Shortcuts automation triggers,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
LiveTelemetryStatsView,LiveTelemetryStatsView,diagnostics/telemetry,OpenIntelligence/Features/Telemetry/Dashboard/LiveTelemetryStatsView.swift,"LiveTelemetryStatsView, TelemetryMetricRow, TelemetryPipelineMetrics","categoryColor, formatTime, formatNumber",,,,,no,no,no,no,low,Docs/EVALS.md,Monitors pipeline performance and hardware usage,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
MotherboardHUDView,MotherboardHUDView,diagnostics/telemetry,OpenIntelligence/Features/Telemetry/Dashboard/MotherboardHUDView.swift,"DeviceComponentLayout, KeyboardHeightObserver, KeyboardHeightObserver, HardwareXRayOverlay, GlowingSoCBorder, GlowingTapticBorder, FloatingTapticIndicator, SiliconLegend","simulatorNativeScreenHeight, keyboardWillShow, keyboardWillHide, orientRect, rectToScreen",,,,,no,no,no,no,low,Docs/EVALS.md,Monitors pipeline performance and hardware usage,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
TelemetryDashboardView,TelemetryDashboardView,diagnostics/telemetry,OpenIntelligence/Features/Telemetry/Dashboard/TelemetryDashboardView.swift,"TelemetryDashboardView, EmptyTelemetryView, ModernTelemetryCard, TelemetryRow",,,,,,no,no,no,no,low,Docs/EVALS.md,Monitors pipeline performance and hardware usage,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
NLChunkingDiagnosticsView,NLChunkingDiagnosticsView,semantic chunking,OpenIntelligence/Features/Telemetry/Diagnostics/NLChunkingDiagnosticsView.swift,NLChunkingDiagnosticsView,"metric, languageString, sortedHypotheses, languageCodeToName, relativeDate",,,,,no,no,no,no,low,Docs/INGESTION_PIPELINE.md,Splits text blocks using semantic density,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
AdaptiveVisualizationsView,AdaptiveVisualizationsView,SQLite/FTS storage,OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,"AdaptiveVisualizationsView, AtlasProjectionMethod, AtlasBackgroundStyle, AtlasMode, QuickMetric, InsightCard, RecommendedViewCard, StatTile, TopicCloudView, ContentBreakdownView, ClusterOverviewView, RetrievalFlowView, DocumentRelationshipView, SimilarityHeatmapPreview, LibraryTimelineView, AtlasStatPill, AtlasToggleChip, CompactInsightCard, Fullscreen3DAtlasView, CompactAtlasSceneView, TopicColorItem","hero3DAtlasSection, atlasTopicLegend, atlas3DStatsBar, quickMetricsStrip, insightCardsSection",SQLite3,"retrieval, document import",SQLite FTS index,SQLite FTS index,no,no,no,no,medium,Docs/Engineering/STORAGE_AND_PIPELINE_TRACE.md,Relational metadata and Full-Text Search database,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Embedding3DView,Embedding3DView,embeddings,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,"EmbeddingInsight, PointAnnotationLabel, EmbeddingSceneBackgroundStyle, GradientSpec, VizLegendItem, EmbeddingSpaceRenderer, SpatialStats, SpatialStatMini, AxisDistributionBar, ControlToggleButton, EmbeddingStatMini, ProjectionDetailRow, DistributionBar, VectorSpaceIndicator, LegendChipsView, LegendChip, AnnotationPopoverLayer, AnnotationBubble, InsightCard, AnnotationCandidate, Embedding3DSceneView, SceneOptions, AxisLabels, AnnotationData, TappedPointInfo, SceneViewContainer, Coordinator, SceneViewContainer, Coordinator, AxisDirection, EmbeddingColorPalette, EmbeddingSpaceRenderer","platformColor, errorBanner, calculateVariance, calculateBalanceScore, balanceColor",,,,,no,no,no,no,medium,Docs/Engineering/RAG_TECHNICAL.md,Generates CoreML embeddings vectors,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
VisualizationsView,VisualizationsView,SQLite/FTS storage,OpenIntelligence/Features/Telemetry/Visualizations/VisualizationsView.swift,"VisualizationsView, DashboardTab, EmptyVisualizationsView, EmbeddingSpaceView, ProjectionMethod, EmbeddingLegendCard, AxisRow, EmbeddingSpacePlaceholder, ChunkDistributionView, AdvancedCorpusStatsView, CorpusQuickStat, NerdStatRow, QualityIndicatorRow, QueryAnalyticsView, EmptyAnalyticsView, QueryStatsGrid, RecentQueriesList, QueryEventCard, RetrievalPatternsView, MutableAccumulator, ChunkHitStat, DocumentHitStat, DashboardSectionCard, PerformanceMetricsView, PipelineStagesCard, StageMetricRow, SystemMetricsGrid, StatCard, EmbeddingInfoSheet, VisualizationInfoSection, SimilarityHeatmapView, HeatmapChunkDescriptor, PipelineTimelineView, Stage, StageChip, ActivityRow, SemanticClusteringView, MetricPill, ClusterSignature, ClusteringInfoCard, ClusterPreviewCard, VisualizationMath, VisualizationChunkSampler, SplitMix64, FTS5StorageView, FTS5StatCard, StatusBadge","drawSimulatedClusters, formatLargeNumber, formatTimeInterval, typeColor, calculateUniformityScore",SQLite3,"retrieval, document import",SQLite FTS index,SQLite FTS index,no,no,yes,no,medium,Docs/Engineering/STORAGE_AND_PIPELINE_TRACE.md,Relational metadata and Full-Text Search database,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
StoreKitTestHarness,StoreKitTestHarness,StoreKit,OpenIntelligence/Resources/StoreKit/StoreKitTestHarness.swift,StoreKitTestHarness,startIfNeeded,Apple StoreKit API,settings,,,no,no,no,no,high,Docs/BILLING_AND_LIMITS.md,In-App Purchases configurations and transactions,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
OpenIntelligenceEngine,OpenIntelligenceEngine,PCC routing/consent,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,"OIAvailabilityState, OIExecutionContext, OIQueryQualityMode, OIEngineConfiguration, OILibrary, OIDocument, OIIngestRequest, OIIngestResult, OIQueryRequest, OIQueryStreamEvent, OIQueryProgressEvent, OIQueryDiagnostics, OICitation, OIQueryResult, OpenIntelligenceEngineError, OIEngine","availability, listLibraries, createLibrary, deleteLibrary, listDocuments","AppleFoundationModels, SettingsStore",retrieval,UserDefaults,,no,yes,no,no,high,Docs/PRIVACY_AND_ROUTING.md,PCC boundary routing and user consent,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
FoundationModelDynamicProfileRegistry,FoundationModelDynamicProfileRegistry,Apple Foundation Models,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelDynamicProfileRegistry.swift,"FoundationModelDynamicProfile, FoundationModelDynamicProfileRegistry",profile,,,,,no,no,no,no,high,Docs/Engineering/APPLE_MODELS.md,Local Apple FM inference wrapper,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
FoundationModelErrorMapper,FoundationModelErrorMapper,Apple Foundation Models,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelErrorMapper.swift,"FoundationModelErrorMapper, MappedResult",mapError,,,,,no,no,no,no,high,Docs/Engineering/APPLE_MODELS.md,Local Apple FM inference wrapper,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
FoundationModelPromptCompiler,FoundationModelPromptCompiler,Apple Foundation Models,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelPromptCompiler.swift,FoundationModelPromptCompiler,"sanitizeForLanguageDetection, compileInstructions, compilePrompt",,,,,no,no,no,no,high,Docs/Engineering/APPLE_MODELS.md,Local Apple FM inference wrapper,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
FoundationModelRoute,FoundationModelRoute,Apple Foundation Models,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoute.swift,"PCCReasoningLevel, AppleFoundationModelRoute",,,,,,no,yes,no,no,high,Docs/Engineering/APPLE_MODELS.md,Local Apple FM inference wrapper,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
FoundationModelRoutePolicy,FoundationModelRoutePolicy,PCC routing/consent,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoutePolicy.swift,"FoundationModelRoutePolicy, QueryType",determineRoute,"AppleFoundationModels, SettingsStore",retrieval,UserDefaults,,no,yes,no,no,high,Docs/PRIVACY_AND_ROUTING.md,PCC boundary routing and user consent,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
FoundationModelSessionFactory,FoundationModelSessionFactory,PCC routing/consent,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelSessionFactory.swift,"FoundationModelSessionFactory, SessionResult",createSession,"AppleFoundationModels, SettingsStore",retrieval,UserDefaults,,no,yes,no,no,high,Docs/PRIVACY_AND_ROUTING.md,PCC boundary routing and user consent,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
FoundationModelStructuredGenerator,FoundationModelStructuredGenerator,Apple Foundation Models,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelStructuredGenerator.swift,FoundationModelStructuredGenerator,"generateStructuredRAGAnswer, respondStructured, normalizeStructuredCitations",,,,,no,no,no,no,high,Docs/Engineering/APPLE_MODELS.md,Local Apple FM inference wrapper,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
FoundationModelTokenBudget,FoundationModelTokenBudget,Apple Foundation Models,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelTokenBudget.swift,FoundationModelTokenBudget,"contextSize, tokenBudget, conservativeCharsPerToken, estimateTokens, estimateTokens",,,,,no,no,no,no,high,Docs/Engineering/APPLE_MODELS.md,Local Apple FM inference wrapper,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
FoundationModelToolRegistry,FoundationModelToolRegistry,Apple Foundation Models,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,"SearchDocumentsTool, Arguments, ListDocumentsTool, Arguments, GetDocumentSummaryTool, Arguments, CountPatternTool, Arguments, SearchExactPatternTool, Arguments, GetCorpusStatsTool, Arguments, FindRelatedDocumentsTool, Arguments, CompareDocumentsTool, Arguments, RetrieveCorpusEvidenceTool, Arguments, InspectDocumentTool, Arguments, CompareTopicAcrossDocumentsTool, Arguments, GetLibraryOverviewTool, Arguments, FoundationModelToolRegistry","call, call, call, call, call",,,,,no,no,no,no,high,Docs/Engineering/APPLE_MODELS.md,Local Apple FM inference wrapper,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
